COUNTRY,REGION,VALUE,YEAR,ad_type
Afghanistan,Eastern Mediterranean,ban,2012,Beer
Afghanistan,Eastern Mediterranean,ban,2012,Spirits
Australia,Western Pacific,voluntary/self-restricted,2012,Wine
Austria,Europe,no restrictions,2012,Beer
Bahamas,Americas,no restrictions,2012,Wine
Bhutan,South-East Asia,ban,2012,Spirits
Bolivia (Plurinational State of),Americas,no restrictions,2012,Wine
Botswana,Africa,no restrictions,2012,Beer
Botswana,Africa,no restrictions,2012,Spirits
Canada,Americas,no restrictions,2012,Wine
Cabo Verde,Africa,no restrictions,2012,Beer
Chad,Africa,no restrictions,2012,Wine
Chile,Americas,no restrictions,2012,Beer
Côte d'Ivoire,Africa,no restrictions,2012,Spirits
Croatia,Europe,ban,2012,Wine
Cyprus,Europe,voluntary/self-restricted,2012,Spirits
Czechia,Europe,partial restriction content,2012,Wine
Egypt,Eastern Mediterranean,ban,2012,Beer
Egypt,Eastern Mediterranean,ban,2012,Spirits
Equatorial Guinea,Africa,no restrictions,2012,Wine
Eritrea,Africa,no restrictions,2012,Beer
Gambia,Africa,voluntary/self-restricted,2012,Spirits
Georgia,Europe,no restrictions,2012,Wine
Germany,Europe,voluntary/self-restricted,2012,Beer
Ghana,Africa,voluntary/self-restricted,2012,Spirits
Greece,Europe,no restrictions,2012,Wine
Hungary,Europe,partial restriction time/place,2012,Beer
Hungary,Europe,partial restriction time/place,2012,Spirits
Indonesia,South-East Asia,ban,2012,Beer
Indonesia,South-East Asia,ban,2012,Spirits
Jordan,Eastern Mediterranean,ban,2012,Wine
Kazakhstan,Europe,no restrictions,2012,Beer
Kiribati,Western Pacific,no restrictions,2012,Wine
Lithuania,Europe,no restrictions,2012,Wine
Madagascar,Africa,no restrictions,2012,Beer
Madagascar,Africa,no restrictions,2012,Spirits
Mauritius,Africa,no restrictions,2012,Wine
Mexico,Americas,no restrictions,2012,Beer
Monaco,Europe,no restrictions,2012,Wine
Mongolia,Western Pacific,ban,2012,Beer
Nepal,South-East Asia,no restrictions,2012,Spirits
Netherlands,Europe,voluntary/self-restricted,2012,Wine
Nicaragua,Americas,no restrictions,2012,Spirits
Niger,Africa,voluntary/self-restricted,2012,Wine
Papua New Guinea,Western Pacific,no restrictions,2012,Beer
Papua New Guinea,Western Pacific,no restrictions,2012,Spirits
Peru,Americas,no restrictions,2012,Wine
Philippines,Western Pacific,no restrictions,2012,Beer
Romania,Europe,ban,2012,Spirits
Russian Federation,Europe,ban,2012,Wine
Rwanda,Africa,no restrictions,2012,Beer
Saint Kitts and Nevis,Americas,no restrictions,2012,Spirits
Saint Lucia,Americas,no restrictions,2012,Wine
Seychelles,Africa,no restrictions,2012,Beer
Seychelles,Africa,no restrictions,2012,Spirits
Slovakia,Europe,no restrictions,2012,Beer
Slovakia,Europe,no restrictions,2012,Spirits
Suriname,Americas,no restrictions,2012,Wine
Eswatini,Africa,no restrictions,2012,Beer
Switzerland,Europe,partial restriction content,2012,Wine
Syrian Arab Republic,Eastern Mediterranean,ban,2012,Beer
Tonga,Western Pacific,no restrictions,2012,Spirits
Trinidad and Tobago,Americas,no restrictions,2012,Wine
Turkey,Europe,partial restriction time/place,2012,Beer
Turkey,Europe,partial restriction time/place,2012,Spirits
United States of America,Americas,voluntary/self-restricted,2012,Wine
Uruguay,Americas,no restrictions,2012,Beer
Venezuela (Bolivarian Republic of),Americas,no restrictions,2012,Beer
Bahrain,Eastern Mediterranean,,2012,Wine
Jamaica,Americas,,2012,Beer
Solomon Islands,Western Pacific,,2012,Wine
United Arab Emirates,Eastern Mediterranean,,2012,Wine
Marshall Islands,Western Pacific,,2012,Wine
Somalia,Eastern Mediterranean,,2012,Beer
Libya,Eastern Mediterranean,,2012,Beer
Qatar,Eastern Mediterranean,,2012,Beer
Albania,Europe,no restrictions,2012,Wine
Algeria,Africa,ban,2012,Beer
Armenia,Europe,no restrictions,2012,Beer
Armenia,Europe,partial restriction content,2012,Spirits
Bangladesh,South-East Asia,ban,2012,Wine
Belize,Americas,no restrictions,2012,Spirits
Benin,Africa,no restrictions,2012,Wine
Bhutan,South-East Asia,ban,2012,Beer
Brazil,Americas,partial restriction time/place,2012,Wine
Brunei Darussalam,Western Pacific,ban,2012,Beer
Cameroon,Africa,no restrictions,2012,Beer
Cameroon,Africa,no restrictions,2012,Spirits
Chile,Americas,no restrictions,2012,Spirits
China,Western Pacific,partial restriction content,2012,Wine
Costa Rica,Americas,partial restriction time/place/content,2012,Wine
Côte d'Ivoire,Africa,no restrictions,2012,Beer
Dominican Republic,Americas,no restrictions,2012,Spirits
Ecuador,Americas,no restrictions,2012,Wine
Eritrea,Africa,no restrictions,2012,Spirits
Estonia,Europe,no restrictions,2012,Wine
Ethiopia,Africa,no restrictions,2012,Beer
Gabon,Africa,no restrictions,2012,Wine
Gambia,Africa,voluntary/self-restricted,2012,Beer
Grenada,Americas,no restrictions,2012,Beer
Grenada,Americas,no restrictions,2012,Spirits
Iran (Islamic Republic of),Eastern Mediterranean,ban,2012,Wine
Iraq,Eastern Mediterranean,no restrictions,2012,Beer
Japan,Western Pacific,no restrictions,2012,Beer
Japan,Western Pacific,no restrictions,2012,Spirits
Kyrgyzstan,Europe,partial restriction time/place,2012,Wine
Lesotho,Africa,no restrictions,2012,Spirits
Liberia,Africa,no restrictions,2012,Wine
Malawi,Africa,no restrictions,2012,Wine
Malaysia,Western Pacific,partial restriction content,2012,Beer
Mauritania,Africa,ban,2012,Beer
Mauritania,Africa,ban,2012,Spirits
Mongolia,Western Pacific,ban,2012,Spirits
Montenegro,Europe,partial restriction content,2012,Wine
Nepal,South-East Asia,no restrictions,2012,Beer
Nigeria,Africa,voluntary/self-restricted,2012,Beer
Nigeria,Africa,voluntary/self-restricted,2012,Spirits
Palau,Western Pacific,no restrictions,2012,Spirits
Panama,Americas,no restrictions,2012,Wine
Philippines,Western Pacific,no restrictions,2012,Spirits
Poland,Europe,ban,2012,Wine
Portugal,Europe,partial restriction content,2012,Beer
Republic of Moldova,Europe,no restrictions,2012,Wine
Romania,Europe,no restrictions,2012,Beer
Saint Vincent and the Grenadines,Americas,no restrictions,2012,Beer
Saint Vincent and the Grenadines,Americas,no restrictions,2012,Spirits
Senegal,Africa,ban,2012,Spirits
Serbia,Europe,no restrictions,2012,Wine
Slovenia,Europe,partial restriction time/place,2012,Wine
Sudan,Eastern Mediterranean,ban,2012,Beer
Sudan,Eastern Mediterranean,ban,2012,Spirits
Syrian Arab Republic,Eastern Mediterranean,ban,2012,Spirits
Tajikistan,Europe,no restrictions,2012,Wine
Togo,Africa,no restrictions,2012,Spirits
Tonga,Western Pacific,no restrictions,2012,Beer
Turkmenistan,Europe,ban,2012,Wine
Tuvalu,Western Pacific,no restrictions,2012,Beer
United Republic of Tanzania,Africa,no restrictions,2012,Beer
United Republic of Tanzania,Africa,no restrictions,2012,Spirits
Venezuela (Bolivarian Republic of),Americas,no restrictions,2012,Spirits
Viet Nam,Western Pacific,no restrictions,2012,Wine
Lebanon,Eastern Mediterranean,,2012,Wine
Libya,Eastern Mediterranean,,2012,Wine
Qatar,Eastern Mediterranean,,2012,Wine
Samoa,Western Pacific,,2012,Beer
Morocco,Eastern Mediterranean,,2012,Beer
United Arab Emirates,Eastern Mediterranean,,2012,Spirits
Cook Islands,Western Pacific,,2012,Spirits
Albania,Europe,no restrictions,2012,Beer
Albania,Europe,no restrictions,2012,Spirits
Algeria,Africa,ban,2012,Wine
Argentina,Americas,no restrictions,2012,Spirits
Armenia,Europe,partial restriction content,2012,Wine
Bangladesh,South-East Asia,ban,2012,Beer
Benin,Africa,no restrictions,2012,Beer
Benin,Africa,no restrictions,2012,Spirits
Brazil,Americas,partial restriction time/place,2012,Spirits
Brunei Darussalam,Western Pacific,ban,2012,Wine
Cameroon,Africa,no restrictions,2012,Wine
Canada,Americas,no restrictions,2012,Beer
China,Western Pacific,partial restriction content,2012,Beer
China,Western Pacific,partial restriction content,2012,Spirits
Costa Rica,Americas,partial restriction time/place/content,2012,Beer
Costa Rica,Americas,partial restriction time/place/content,2012,Spirits
Côte d'Ivoire,Africa,no restrictions,2012,Wine
Czechia,Europe,partial restriction content,2012,Spirits
Dominican Republic,Americas,no restrictions,2012,Wine
Ecuador,Americas,no restrictions,2012,Beer
Estonia,Europe,no restrictions,2012,Beer
Estonia,Europe,no restrictions,2012,Spirits
Gabon,Africa,no restrictions,2012,Spirits
Gambia,Africa,voluntary/self-restricted,2012,Wine
Grenada,Americas,no restrictions,2012,Wine
Guatemala,Americas,no restrictions,2012,Beer
Iran (Islamic Republic of),Eastern Mediterranean,ban,2012,Beer
Iran (Islamic Republic of),Eastern Mediterranean,ban,2012,Spirits
Iraq,Eastern Mediterranean,no restrictions,2012,Wine
Japan,Western Pacific,no restrictions,2012,Wine
Kyrgyzstan,Europe,partial restriction time/place,2012,Beer
Liberia,Africa,no restrictions,2012,Beer
Liberia,Africa,no restrictions,2012,Spirits
Malawi,Africa,no restrictions,2012,Spirits
Malaysia,Western Pacific,partial restriction content,2012,Wine
Mauritania,Africa,ban,2012,Wine
Mauritius,Africa,no restrictions,2012,Beer
Montenegro,Europe,partial restriction content,2012,Beer
Montenegro,Europe,ban,2012,Spirits
Niger,Africa,voluntary/self-restricted,2012,Spirits
Nigeria,Africa,voluntary/self-restricted,2012,Wine
Palau,Western Pacific,no restrictions,2012,Wine
Panama,Americas,no restrictions,2012,Beer
Poland,Europe,partial restriction time/place,2012,Beer
Poland,Europe,ban,2012,Spirits
Republic of Moldova,Europe,no restrictions,2012,Spirits
Romania,Europe,no restrictions,2012,Wine
Saint Vincent and the Grenadines,Americas,no restrictions,2012,Wine
Serbia,Europe,no restrictions,2012,Beer
Serbia,Europe,no restrictions,2012,Spirits
Slovenia,Europe,partial restriction time/place,2012,Beer
Slovenia,Europe,ban,2012,Spirits
Sri Lanka,South-East Asia,no restrictions,2012,Spirits
Sudan,Eastern Mediterranean,ban,2012,Wine
Syrian Arab Republic,Eastern Mediterranean,ban,2012,Wine
Tajikistan,Europe,no restrictions,2012,Beer
Turkmenistan,Europe,ban,2012,Spirits
Tuvalu,Western Pacific,no restrictions,2012,Wine
United Republic of Tanzania,Africa,no restrictions,2012,Wine
United States of America,Americas,voluntary/self-restricted,2012,Beer
Viet Nam,Western Pacific,no restrictions,2012,Beer
Viet Nam,Western Pacific,no restrictions,2012,Spirits
Haiti,Americas,,2012,Wine
Nauru,Western Pacific,,2012,Wine
Solomon Islands,Western Pacific,,2012,Spirits
Honduras,Americas,,2012,Spirits
Jamaica,Americas,,2012,Wine
Libya,Eastern Mediterranean,,2012,Spirits
Haiti,Americas,,2012,Beer
Djibouti,Eastern Mediterranean,,2012,Wine
Andorra,Europe,no restrictions,2012,Beer
Andorra,Europe,no restrictions,2012,Spirits
Antigua and Barbuda,Americas,no restrictions,2012,Wine
Argentina,Americas,no restrictions,2012,Beer
Bangladesh,South-East Asia,ban,2012,Spirits
Barbados,Americas,no restrictions,2012,Wine
Belgium,Europe,no restrictions,2012,Spirits
Belize,Americas,no restrictions,2012,Wine
Bulgaria,Europe,partial restriction content,2012,Beer
Bulgaria,Europe,partial restriction time/place/content,2012,Spirits
Cambodia,Western Pacific,no restrictions,2012,Beer
Cambodia,Western Pacific,no restrictions,2012,Spirits
Colombia,Americas,no restrictions,2012,Wine
Comoros,Africa,no restrictions,2012,Beer
Congo,Africa,no restrictions,2012,Spirits
Democratic Republic of the Congo,Africa,no restrictions,2012,Beer
Democratic Republic of the Congo,Africa,no restrictions,2012,Spirits
Dominica,Americas,no restrictions,2012,Beer
Dominica,Americas,no restrictions,2012,Spirits
Ethiopia,Africa,no restrictions,2012,Wine
Fiji,Western Pacific,no restrictions,2012,Beer
France,Europe,partial restriction time/place,2012,Wine
Gabon,Africa,no restrictions,2012,Beer
Guatemala,Americas,no restrictions,2012,Spirits
Guinea,Africa,no restrictions,2012,Wine
Guyana,Americas,no restrictions,2012,Beer
Guyana,Americas,no restrictions,2012,Spirits
Ireland,Europe,voluntary/self-restricted,2012,Beer
Ireland,Europe,voluntary/self-restricted,2012,Spirits
Italy,Europe,partial restriction time/place/content,2012,Wine
Kyrgyzstan,Europe,partial restriction time/place,2012,Spirits
Lao People's Democratic Republic,Western Pacific,no restrictions,2012,Wine
Lesotho,Africa,no restrictions,2012,Wine
Maldives,South-East Asia,ban,2012,Beer
Maldives,South-East Asia,ban,2012,Spirits
Mozambique,Africa,no restrictions,2012,Beer
Myanmar,South-East Asia,voluntary/self-restricted,2012,Spirits
Namibia,Africa,no restrictions,2012,Wine
Niue,Western Pacific,no restrictions,2012,Beer
Niue,Western Pacific,no restrictions,2012,Spirits
Pakistan,Eastern Mediterranean,ban,2012,Beer
Pakistan,Eastern Mediterranean,ban,2012,Spirits
Portugal,Europe,partial restriction content,2012,Wine
Republic of Korea,Western Pacific,no restrictions,2012,Wine
Republic of Moldova,Europe,no restrictions,2012,Beer
San Marino,Europe,no restrictions,2012,Wine
Saudi Arabia,Eastern Mediterranean,ban,2012,Beer
Saudi Arabia,Eastern Mediterranean,ban,2012,Spirits
Senegal,Africa,ban,2012,Wine
Spain,Europe,no restrictions,2012,Wine
Sri Lanka,South-East Asia,no restrictions,2012,Beer
Tajikistan,Europe,no restrictions,2012,Spirits
Thailand,South-East Asia,partial restriction time/place,2012,Wine
Timor-Leste,South-East Asia,no restrictions,2012,Spirits
Togo,Africa,no restrictions,2012,Wine
Uganda,Africa,no restrictions,2012,Beer
Uganda,Africa,no restrictions,2012,Spirits
United Kingdom of Great Britain and Northern Ireland,Europe,voluntary/self-restricted,2012,Beer
United Kingdom of Great Britain and Northern Ireland,Europe,voluntary/self-restricted,2012,Spirits
Yemen,Eastern Mediterranean,ban,2012,Wine
Zambia,Africa,no restrictions,2012,Beer
Zimbabwe,Africa,ban,2012,Spirits
Honduras,Americas,,2012,Wine
Vanuatu,Western Pacific,,2012,Beer
Kuwait,Eastern Mediterranean,,2012,Beer
Bahrain,Eastern Mediterranean,,2012,Spirits
Samoa,Western Pacific,,2012,Wine
Kuwait,Eastern Mediterranean,,2012,Wine
Afghanistan,Eastern Mediterranean,ban,2012,Wine
Algeria,Africa,ban,2012,Spirits
Argentina,Americas,no restrictions,2012,Wine
Australia,Western Pacific,voluntary/self-restricted,2012,Spirits
Bahamas,Americas,no restrictions,2012,Beer
